barcode,chrom,start,length,end,mean_cov,name,cov_gr100_per,total_cov,cov_gr100,n_reads
barcode43,Pf3D7_13_v3,1724567,1286,1725853,1.6702954898911353,kelch13-p383-727,0.0,2148,0,3
barcode44,Pf3D7_11_v3,1294074,826,1294900,6082.116222760291,ama1-p74-384,97.6997578692494,5023828,807,11616
barcode44,Pf3D7_13_v3,1724567,1286,1725853,1872.203732503888,kelch13-p383-727,98.21150855365474,2407654,1263,3730
barcode45,Pf3D7_11_v3,1294074,826,1294900,3774.7106537530262,ama1-p74-384,97.57869249394672,3117911,806,6873
barcode45,Pf3D7_13_v3,1724567,1286,1725853,7193.632192846034,kelch13-p383-727,98.4447900466563,9251011,1266,13569
barcode46,Pf3D7_11_v3,1294074,826,1294900,6009.618644067797,ama1-p74-384,97.82082324455206,4963945,808,11589
barcode46,Pf3D7_13_v3,1724567,1286,1725853,3720.757387247279,kelch13-p383-727,98.28926905132192,4784894,1264,7038
barcode47,Pf3D7_11_v3,1294074,826,1294900,3142.51210653753,ama1-p74-384,97.57869249394672,2595715,806,5404
barcode47,Pf3D7_13_v3,1724567,1286,1725853,130.37791601866252,kelch13-p383-727,70.8398133748056,167666,911,271
barcode48,Pf3D7_11_v3,1294074,826,1294900,8470.79176755448,ama1-p74-384,97.82082324455206,6996874,808,16952
barcode48,Pf3D7_13_v3,1724567,1286,1725853,87.26905132192846,kelch13-p383-727,50.23328149300156,112228,646,209
barcode49,Pf3D7_11_v3,1294074,826,1294900,4280.165859564165,ama1-p74-384,97.6997578692494,3535417,807,7904
barcode49,Pf3D7_13_v3,1724567,1286,1725853,2091.9510108864697,kelch13-p383-727,98.21150855365474,2690249,1263,4087
barcode50,Pf3D7_11_v3,1294074,826,1294900,4201.125907990315,ama1-p74-384,97.57869249394672,3470130,806,7673
barcode50,Pf3D7_13_v3,1724567,1286,1725853,228.6384136858476,kelch13-p383-727,90.97978227060652,294029,1170,447
barcode51,Pf3D7_11_v3,1294074,826,1294900,4151.244552058111,ama1-p74-384,97.6997578692494,3428928,807,7198
barcode51,Pf3D7_13_v3,1724567,1286,1725853,6737.156298600311,kelch13-p383-727,98.4447900466563,8663983,1266,12556
barcode52,Pf3D7_11_v3,1294074,826,1294900,2689.318401937046,ama1-p74-384,97.45762711864408,2221377,805,4851
barcode52,Pf3D7_13_v3,1724567,1286,1725853,63.49766718506999,kelch13-p383-727,0.0,81658,0,142
barcode53,Pf3D7_11_v3,1294074,826,1294900,2694.3874092009687,ama1-p74-384,97.57869249394672,2225564,806,4734
barcode53,Pf3D7_13_v3,1724567,1286,1725853,194.57620528771383,kelch13-p383-727,85.53654743390358,250225,1100,416
barcode54,Pf3D7_11_v3,1294074,826,1294900,2724.871670702179,ama1-p74-384,97.57869249394672,2250744,806,4711
barcode54,Pf3D7_13_v3,1724567,1286,1725853,1454.174961119751,kelch13-p383-727,98.13374805598755,1870069,1262,2805
barcode55,Pf3D7_11_v3,1294074,826,1294900,6527.559322033899,ama1-p74-384,97.6997578692494,5391764,807,12097
barcode55,Pf3D7_13_v3,1724567,1286,1725853,1708.291601866252,kelch13-p383-727,98.13374805598755,2196863,1262,3451
barcode56,Pf3D7_11_v3,1294074,826,1294900,2741.6113801452784,ama1-p74-384,97.57869249394672,2264571,806,4691
barcode56,Pf3D7_13_v3,1724567,1286,1725853,130.67418351477448,kelch13-p383-727,74.57231726283048,168047,959,288
barcode57,Pf3D7_11_v3,1294074,826,1294900,4535.46004842615,ama1-p74-384,97.57869249394672,3746290,806,7691
barcode57,Pf3D7_13_v3,1724567,1286,1725853,485.74494556765165,kelch13-p383-727,97.8227060653188,624668,1258,949
barcode58,Pf3D7_11_v3,1294074,826,1294900,409.2530266343826,ama1-p74-384,96.85230024213077,338043,800,743
barcode58,Pf3D7_13_v3,1724567,1286,1725853,9.673405909797824,kelch13-p383-727,0.0,12440,0,22
unclassified,Pf3D7_11_v3,1294074,826,1294900,11536.033898305084,ama1-p74-384,97.82082324455206,9528764,808,20607
unclassified,Pf3D7_13_v3,1724567,1286,1725853,9203.510886469674,kelch13-p383-727,98.4447900466563,11835715,1266,16944
